System ID,UPC,EAN,Custom SKU,Manufact. SKU,Item,Remaining,Total Cost,Avg. Cost,Sale Price,Margin
210000034974,00763477004741,,ACTL0070,985-1C,"Park Tool Replacement Chain-tool Pin 985-1, CT-6, MTB-1",4,$2.50,$2.73,$9.82,74.54%
210000034976,00763477002228,,ACTL0070002,CTP-C,"Park Chain Tool Pin for CT2, CT-3, CT-5 and CT-7, Card of 2",2,$2.50,$2.18,$5.99,58.26%
210000034978,00000000000000,,PEDROS,,Pedros Tire Lever (Pair),67,$1.75,$1.98,$3.95,55.70%
210000034984,00763477000514,,ACTL0085,,Park Tool BBT-18 Bottom Bracket Tool for 8-Notch ISIS Cups,1,$7.65,$8.07,$17.95,57.38%
210000034998,00763477003454,,ACTL0098003,,FR-3 Suntour 4FW tool Park,2,$11.25,$11.25,$13.95,19.35%
210000035000,00000000000000,,PRESTA,,Presta Alloy PV Adapter (EACH),121,$0.38,$0.58,$1.50,74.67%
210000035004,00763477003508,,ACTL0125,,Park FR-6 4 prong BMX freewheel remover,1,$7.25,$8.34,$14.95,51.51%
210000035018,00763477006325,,ACTL0149,SCW-14,Park Tool SCW-14 Cone wrench: 14mm,1,$4.30,$4.41,$8.95,51.96%
210000035020,00763477006349,,ACTL0150,SCW-16,Park Tool SCW-16 Cone wrench: 16mm,1,$4.40,$4.50,$8.95,50.84%
210000035022,00763477006363,,ACTL0151,,SCW 18mm Cone wrench Park,1,$4.47,$4.50,$9.00,50.33%
210000035092,00763477002778,,ACTL0206,,DCW-3C 17x18mm conewrench Park,1,$2.55,$2.33,$7.95,67.92%
210000035112,00046307121604,,ACTW0008,,"Wald 12-16"" Training Wheels",1,$11.39,$17.49,$29.99,62.02%
210000035132,00723660988814,,ACWB0012002,,Profile Aero Drink clampbracke,1,$8.29,$8.29,$12.99,36.18%
210000035138,00713852901219,,ACWB0042,,Ergo HydroLock Camelbak,1,$3.40,$3.40,$6.00,43.33%
210000035554,00184771000053,,CLHA0003,,Halo: II Headband Black,1,$6.50,$7.75,$12.95,49.81%
210000035556,01847710000600,,CLHA0004,BD200,Halo II Pullover Headband: Royal Blue,1,$7.75,$7.75,$14.95,48.16%
210000035786,05420056602136,,CLHE0261,,Rollsys LED Upgrade kit Black,3,$6.00,$6.00,$14.95,59.87%
210000035940,08017732017710,2000000094014,CLSH0066,10923000000,Sidi MTB Shoe Spikes / Cleats,3,$7.77,$5.80,$10.00,22.30%
210000036066,00641300670007,,CLSH0217,10000,Crank Brothers Stainless Carbon Shoe Shields,1,$5.60,$5.60,$11.95,53.14%
210000036216,00682864342429,,WB2C6201,,"DeFeet Woolie Boolie 6"" Sock: Charcoal MD",1,$9.13,$10.37,$16.99,46.26%
210000036694,06020591209911,,MIFD0021001,,Hammer Endurolytes: Bottle of 120 Capsules,4,$15.50,$15.50,$21.95,29.38%
210000036704,00657399000014,,MIFD0036,,"Chamois Butt'r Original: 8oz Tube, Each",11,$8.75,$9.85,$17.99,51.36%
210000036762,00722252180643,,MIFD0130001,,Shot Bloks Black Cherry EACH,1,$1.28,$1.46,$2.50,48.80%
210000036922,08032758973826,,PABB0003,,"Campagnolo Centaur Cartridge Bottom Bracket, 68 x 115mm, English",1,$47.80,$47.80,$79.95,40.21%
